H,M
1.6500E+02,1.74032686854313E+01
2.8200E+02,4.13226375932546E+01
3.7700E+02,6.83255902757160E+01
4.3900E+02,8.78997652458433E+01
4.8400E+02,1.02911866175054E+02
5.1100E+02,1.12828064788553E+02
5.2000E+02,1.15892383065337E+02
